PG1,PG2,PG3,QG1,QG2,QG3,Vm1,Vm2,Vm3,Va1_deg,Va2_deg,Va3_deg,Ploss_MW,load_factor
510.000000,7.000000,0.000000,272.843699,140.969994,179.869781,1.099921,1.099883,1.099538,-0.000000,-88.794667,-78.015018,44.500000,1.500000
510.500000,7.000000,0.000000,275.937864,142.290632,181.818288,1.099650,1.099396,1.099485,-0.000000,-89.401879,-78.569930,45.000000,1.500000
512.000000,7.000000,0.000000,285.618678,146.378378,187.215356,1.099839,1.098211,1.098385,-0.000000,-91.192140,-80.218643,46.500000,1.500000
514.000000,7.000000,0.000000,297.646825,151.841514,194.638997,1.099515,1.099087,1.099251,0.000000,-93.444520,-82.342108,48.500000,1.500000
507.500000,8.000000,0.000000,263.951247,136.320466,174.460688,1.099823,1.097918,1.098049,0.000000,-87.025451,-76.509162,43.000000,1.500000
508.000000,8.000000,0.000000,267.027091,137.900646,176.236852,1.099208,1.098050,1.097464,-0.000000,-87.642245,-77.098147,43.500000,1.500000
508.500000,8.000000,0.000000,270.191428,139.135838,178.257328,1.098963,1.097035,1.097349,-0.000000,-88.270166,-77.658815,44.000000,1.500000
509.500000,8.000000,0.000000,276.486342,141.905316,181.983242,1.098506,1.096276,1.096742,-0.000000,-89.489655,-78.785774,45.000000,1.500000
510.000000,8.000000,0.000000,279.558167,143.288884,183.859872,1.098259,1.096135,1.096658,0.000000,-90.085464,-79.340900,45.500000,1.500000
510.500000,8.000000,0.000000,282.761893,144.643469,185.671204,1.098306,1.095780,1.096359,0.000000,-90.680962,-79.890551,46.000000,1.500000
512.000000,8.000000,0.000000,292.043987,148.716706,191.171923,1.098284,1.095711,1.096356,-0.000000,-92.411434,-81.507765,47.500000,1.500000
512.500000,8.000000,0.000000,295.091902,150.070377,193.000876,1.098322,1.095892,1.096519,0.000000,-92.972800,-82.036653,48.000000,1.500000
514.000000,8.000000,0.000000,304.232798,154.085671,198.436050,1.098781,1.096700,1.097242,-0.000000,-94.618938,-83.592491,49.500000,1.500000
514.500000,8.000000,0.000000,307.230318,155.421989,200.246906,1.098959,1.097168,1.097643,0.000000,-95.152582,-84.101460,50.000000,1.500000
516.000000,8.000000,0.000000,316.080725,159.420796,205.682559,1.099552,1.099117,1.099309,0.000000,-96.709767,-85.599985,51.500000,1.500000
504.500000,9.000000,0.000000,250.958080,130.288700,167.429925,1.099510,1.099076,1.099575,0.000000,-84.493758,-74.341875,41.000000,1.500000
505.500000,9.000000,0.000000,257.251679,133.186845,171.285296,1.098086,1.097655,1.098304,0.000000,-85.796902,-75.541849,42.000000,1.500000
506.000000,9.000000,0.000000,261.054755,134.743920,172.714816,1.098514,1.096429,1.096025,0.000000,-86.458775,-76.149878,42.500000,1.500000
506.500000,9.000000,0.000000,264.267579,135.909768,174.806673,1.098244,1.094960,1.095865,-0.000000,-87.106013,-76.717572,43.000000,1.500000
507.500000,9.000000,0.000000,270.622010,138.773724,178.479472,1.097587,1.094116,1.094818,-0.000000,-88.352226,-77.874121,44.000000,1.500000
508.000000,9.000000,0.000000,273.742315,140.224781,180.299280,1.097268,1.093976,1.094441,-0.000000,-88.961010,-78.445503,44.500000,1.500000
508.500000,9.000000,0.000000,277.004520,141.507993,182.173258,1.097326,1.093167,1.094081,-0.000000,-89.575779,-79.001516,45.000000,1.500000
509.500000,9.000000,0.000000,283.249403,144.260985,185.849780,1.097106,1.092822,1.093745,0.000000,-90.764027,-80.108832,46.000000,1.500000
510.000000,9.000000,0.000000,286.311014,145.621167,187.709309,1.097000,1.092809,1.093787,-0.000000,-91.345751,-80.653353,46.500000,1.500000
511.500000,9.000000,0.000000,295.527470,149.631123,193.231478,1.097128,1.092942,1.094131,0.000000,-93.053981,-82.253617,48.000000,1.500000
512.000000,9.000000,0.000000,298.595597,150.987973,195.023611,1.097270,1.093197,1.094271,-0.000000,-93.608726,-82.779114,48.500000,1.500000
513.500000,9.000000,0.000000,307.630019,155.005110,200.451121,1.097759,1.094448,1.095307,0.000000,-95.228725,-84.322674,50.000000,1.500000
514.000000,9.000000,0.000000,310.613804,156.346753,202.244327,1.097976,1.095039,1.095756,0.000000,-95.754498,-84.828173,50.500000,1.500000
516.000000,9.000000,0.000000,322.424275,161.525104,209.520105,1.099182,1.097575,1.098345,-0.000000,-97.798807,-86.791916,52.500000,1.500000
